번호,자재ID,자재명,대분류,중분류,단위,규격,가격,색상,재고,공급업체,지점,메모
,,화분 블랙 골드라인 소 중앙,바구니 / 화기,도자기,,,,블랙,,중앙화분,,
,,화분 블랙 골드라인 중 중앙,바구니 / 화기,도자기,,,,블랙,,중앙화분,,
,,화분 블랙 골드라인 대 중앙,바구니 / 화기,도자기,,,,블랙,,중앙화분,,
,,화분 테라조 사각 소 중앙,바구니 / 화기,도자기,,,,회색,,중앙화분,,
,,화분 테라조 사각 중 중앙,바구니 / 화기,도자기,,,,회색,,중앙화분,,
,,화분 화이트 스트라이프 11*11,바구니 / 화기,도자기,,,,화이트,,,,
,,화분 화이트 스트라이프 12*13,바구니 / 화기,도자기,,,,화이트,,,,
,,화분 화이트 스트라이프 12*15,바구니 / 화기,도자기,,,,화이트,,,,
,,화분 화이트 스트라이프 15*15,바구니 / 화기,도자기,,,,화이트,,,,
,,화분 화이트 스트라이프 14*17,바구니 / 화기,도자기,,,,화이트,,,,
,,화분 화이트 스트라이프 대 20*26.5,바구니 / 화기,도자기,,,,화이트,,,,
,,화분 화이트 스트라이프 14*17,바구니 / 화기,도자기,,,,화이트,,,,
,,화분 핑크 스트라이프 11*11,바구니 / 화기,도자기,,,,핑크,,,,
,,화분 핑크 스트라이프 15*15,바구니 / 화기,도자기,,,,핑크,,,,
,,화분 그레이 스트라이프 14*17,바구니 / 화기,도자기,,,,회색,,,,
,,화분 그레이 스트라이프 12*15,바구니 / 화기,도자기,,,,회색,,,,
,,화분 테라조 중앙 20*20,바구니 / 화기,도자기,,,,,,중앙화분,,
,,화분 다각화기 하나데코 16*18,바구니 / 화기,도자기,,,,,,하모화분,,
,,화분  화이트 단지 미니- 하모 8*9,바구니 / 화기,도자기,,,,,,하모화분,,
,,화분 핑크 단지 미니- 하모 8*9,바구니 / 화기,도자기,,,,,,하모화분,,
,,화분 유로스톤 03,바구니 / 화기,도자기,,,9900,기타,6,유선농원,,
,,화분 유로스톤 07,바구니 / 화기,도자기,,,19800,,2,,,
,,화분 유로스톤 원형 중 26*20*17,바구니 / 화기,도자기,,,,,,,,
,,화분 유로스톤 원형 대 30*26*22,바구니 / 화기,도자기,,,,,,,,
,,화분 유로스톤 밥그릇 19*20,바구니 / 화기,도자기,,,,,,,,
,,화분 유로스톤 회색 스트라이프 20^20,바구니 / 화기,도자기,,,,,,,,
,,화병 고블렛와인잔 이케아,바구니 / 화기,유리,,,2900,기타,50,이케아,,
,,화병 원통 유리실린더10*30,바구니 / 화기,유리,,,4000,기타,4,헌인자재,,
,,화병 H원 10x10,바구니 / 화기,유리,,,3000,,10,,,
,,테라조화분,바구니 / 화기,테라조,,,12000,기타,59,제이앤데코,,
,,화분 frp시멘트화분,바구니 / 화분,시멘트,,,20000,,2,제이앤데코,,
,,화기 소 실버 현대데코 10*10,바구니 / 화기,도자기,,,,,,,,
,,화기 소 원통 화이트 10*10,바구니 / 화기,도자기,,,,,,,,
,,화기 소 원통 블랙 10*10,바구니 / 화기,도자기,,,,,,,,
,,화기 소 원통 실버 10*10,바구니 / 화기,도자기,,,,,,,,
,,화기 소 사각 골드 현대데코 10*10,바구니 / 화기,도자기,,,,,,,,
,,화기 무광 블랙 신신 13*13,바구니 / 화기,도자기,,,,,,,,
,,화기 유광 블랙 신신 14*14,바구니 / 화기,도자기,,,,,,,,
,,화병 스트라이프 7.5*15.5*9,바구니 / 화기,유리,,,,,,,,
,,화병 카라프 이케아,바구니 / 화기,유리,,,2500,,,이케아,,
,,화병 포드라그 이케아,바구니 / 화기,유리,,,3000,,,이케아,,
,,화병 13*6*13(H),바구니 / 화기,유리,,,,,,,,
,,화병 194 우진유리 핑크 10*19,바구니 / 화기,유리,,,,,,,,
,,화병 194 우진유리 옐로우 10*19,바구니 / 화기,유리,,,,,,,,
,,화병 194 우진유리 오팔 10*19,바구니 / 화기,유리,,,,,,,,
,,화병 194 우진유리 화이트 10*19,바구니 / 화기,유리,,,,,,,,
,,화병 티드바텐 이케아 14,바구니 / 화기,유리,,,2900,,,이케아,,
,,화병 베레크나 이케아 14,바구니 / 화기,유리,,,2900,,,이케아,,
,,장미 오렌지트렌드서터 SP,생화,기타,,,14000,오렌지,1,월드플로라,,
,,히야신스 폰던트 연핑크,생화,기타,,,13440,핑크,1,,,
,,미니장미 - 실바써니,생화,장미류,,,7000,기타,1,꽃동산,,
,,미니장미 선글로우,생화,장미류,,,15000,기타,1,강남(중매1659),,
,,미니장미-팔레그리아,생화,장미류,,,15000,기타,2,다원화뭔160호,,
,,자나장미,생화,장미류,,,20000,기타,1,일산플라워,,
,,장미 버터컵,생화,장미류,,,15000,,1,꽃동산-양재,,
,,장미  마르시아,생화,장미류,,,9000,,1,,,
,,장미  쥬밀리아,생화,장미류,,,11500,기타,1,월드플로라,,
,,장미 - 까르페디엠,생화,장미류,,,18500,기타,1,월드플로라,,
,,장미 - 나오미 레드,생화,장미류,,,11500,레드,1,,,
,,장미 - 루비레드,생화,장미류,,,18000,레드,1,월드플로라,,
,,장미 - 리바이벌,생화,장미류,,,12500,,1,,,
,,미니장미 - 머메이드 SP,생화,장미류,,,15800,기타,1,월드플로라,,
,,장미 - 몬디알,생화,장미류,,,16500,기타,1,월드플로라,,
,,미니장미 - 미코토 크림 SP,생화,장미류,,,18800,흰색,2,월드플로라,,
,,미니장미 - 블랙뷰티 SP,생화,장미류,,,16500,블랙,1,월드플로라,,
,,장미 - 슈가돌,생화,장미류,,,16000,기타,1,월드플로라,,
,,장미 - 스타플래티넘,생화,장미류,,,15000,기타,3,월드플로라,,
,,장미 - 스프링레이디 상,생화,장미류,,,17500,,1,,,
,,미니장미 - 시크릿러브 SP,생화,장미류,,,15800,기타,1,월드플로라,,
,,장미 - 아발란체 화이트,생화,장미류,,,14000,흰색,1,월드플로라,,
,,미니장미 - 알레그레아 SP 상,생화,장미류,,,13000,기타,1,월드플로라,,
,,미니장미 - 에그타르트 SP,생화,장미류,,,20000,기타,1,월드플로라,,
,,장미 - 오렌지크러쉬,생화,장미류,,,15500,오렌지,2,월드플로라,,
,,장미 - 올포러브,생화,장미류,,,10000,기타,3,월드플로라,,
,,미니장미 - 웨딩인바이트 SP,생화,장미류,,,22000,기타,1,월드플로라,,
,,미니장미- 유키히메 SP,생화,장미류,,,20000,,1,,,
,,미니장미 - 율두스 SP,생화,장미류,,,23500,,1,,,
,,장미 - 줄리엣,생화,장미류,,,14000,기타,1,월드플로라,,
,,장미 - 카바레,생화,장미류,,,15000,기타,1,월드플로라,,
,,장미 - 캐리,생화,장미류,,,15500,기타,1,월드플로라,,
,,장미 - 코랄리프,생화,장미류,,,15000,,3,꽃동산-양재,,
,,장미 - 티나,생화,장미류,,,11500,,1,,,
,,장미 - 티파니,생화,장미류,,,14000,,1,,,
,,미니장미 - 프린세스 블러셔 sp,생화,장미류,,,18500,기타,1,월드플로라,,
,,미니장미 - 피치팡팡 SP 상,생화,장미류,,,15800,핑크,1,월드플로라,,
,,장미 - 헤라,생화,장미류,,,14000,기타,1,월드플로라,,
,,미니장미 가넷잼 sp,생화,장미류,,,24000,,1,,,
,,장미 고빈다 (콜롬비아),생화,장미류,,,16500,기타,1,월드폴로라,,
,,장미 골드트렌디세터,생화,장미류,,,14000,옐로우,1,월드플로라,,
,,장미 골든킹,생화,장미류,,,30000,,1,,,
,,장미 골든트랜드세터,생화,장미류,,,13000,기타,4,일산플라워,,
,,미니장미 굿무드 sp,생화,장미류,,,8000,,2,월드플로라,,
,,장미 굿무드외대,생화,장미류,,,14400,,1,,,
,,장미 그레이스켈리,생화,장미류,,,5250,,2,,,
,,미니장미 기젤라 SP,생화,장미류,,,9000,,1,,,
,,미니장미 나르샤 SP,생화,장미류,,,21600,기타,1,월드플로라,,
,,장미 나이팅게일,생화,장미류,,,8900,,1,,,
,,장미 노비아,생화,장미류,,,15800,,1,,,
,,장미 니코로빈,생화,장미류,,,12500,,1,,,
,,장미 다이에나,생화,장미류,,,14400,기타,1,월드플로라,,
,,장미 달리,생화,장미류,,,22800,,1,,,
,,장미 더블데이트,생화,장미류,,,9000,,1,,,
,,장미 데자뷰,생화,장미류,,,15800,,3,,,
,,장미 도라,생화,장미류,,,12800,,1,,,
,,장미 드래프트 원 SP,생화,장미류,,,16000,,1,,,
,,장미 드림바비 sp,생화,장미류,,,24000,,1,,,
,,장미 디온sp,생화,장미류,,,7000,,1,,,
,,장미 딥실버,생화,장미류,,,15800,실버,1,,,
,,장미 라가자,생화,장미류,,,15800,,1,,,
,,장미 라미솔,생화,장미류,,,20160,,1,,,
,,장미 라타나,생화,장미류,,,15000,,1,,,
,,미니장미 러브 SP (중국),생화,장미류,,,18800,기타,1,월드플로라,,
,,미니장미 럭키플로우sp,생화,장미류,,,19200,,1,,,
,,장미 런던아이,생화,장미류,,,12000,,1,,,
,,미니장미 레드 SP,생화,장미류,,,8000,레드,1,,,
,,장미 로미오,생화,장미류,,,14000,,1,,,
,,장미 루비레드,생화,장미류,,,8000,레드,1,,,
,,장미 리바이벌,생화,장미류,,,12000,,1,,,
,,장미 마더오브펄 (콜롬비아),생화,장미류,,,15800,기타,1,월드플로라,,
,,장미 마루시아,생화,장미류,,,10000,,1,일산플라워,,
,,장미 마리포사,생화,장미류,,,12000,기타,7,꽃동산,,
,,장미 마릴린먼로,생화,장미류,,,11500,기타,1,월드플로라,,
,,미니장미 마이네리브 SP,생화,장미류,,,18000,,2,,,
,,미니장미 마이네리브 SP (국산),생화,장미류,,,18000,기타,2,월드플로라,,
,,장미 만달라,생화,장미류,,,15000,,5,꽃동산-양재,,
,,장미 맘마미아,생화,장미류,,,15800,,1,,,
,,장미 매직트랜드세터,생화,장미류,,,10000,기타,1,일산플라워,,
,,장미 맨스필드파크SP,생화,장미류,,,13000,기타,2,일산플라워,,
,,장미 모멘텀,생화,장미류,,,17000,,3,꽃동산-양재,,
,,장미 문스톤,생화,장미류,,,17000,,1,,,
,,장미 문워크,생화,장미류,,,10900,,1,,,
,,장미 미스틱오션,생화,장미류,,,9300,기타,1,월드플로라,,
,,장미 미스홀랜드,생화,장미류,,,14500,,1,,,
,,장미 미스홀랜드 (국산),생화,장미류,,,15000,,1,월드플로라,,
,,미니장미 바이올렛 레이디 sp (국산),생화,장미류,,,14000,퍼플,1,월드플로라,,
,,미니장미 반드레오sp,생화,장미류,,,23800,,3,,,
,,장미 발퀴레,생화,장미류,,,14000,,1,,,
,,미니장미 본본 SP (에콰도르),생화,장미류,,,22500,기타,1,월드플로라,,
,,장미 브라이튼,생화,장미류,,,15500,,1,,,
,,미니장미 블랙뷰티 Sp,생화,장미류,,,23040,블랙,1,월드플로라,,
,,장미 블루,생화,장미류,,,19000,블루,3,,,
,,장미 블루드림,생화,장미류,,,17000,블루,1,,,
,,미니장미 블루밍sp,생화,장미류,,,18500,블루,1,월드플로라,,
,,미니장미 비포선셋 sp,생화,장미류,,,18500,,1,,,
,,장미 비하이브,생화,장미류,,,12000,,2,,,
,,장미 빅토리아,생화,장미류,,,13000,기타,1,월드플로라,,
,,장미 빅토리안시크릿,생화,장미류,,,15800,,1,,,
,,미니장미 빌랑드리 SP,생화,장미류,,,18900,,2,,,
,,장미 사리나 레드,생화,장미류,,,11500,레드,1,,,
,,장미 샤만트 (국산),생화,장미류,,,6250,기타,2,월드플로라,,
,,장미 셀레브레이션,생화,장미류,,,12200,,1,,,
,,장미 수스삐로,생화,장미류,,,21120,기타,1,월드플로라,,
,,장미 쉘웨이,생화,장미류,,,4000,,1,,,
,,미니장미 쉬라즈 SP,생화,장미류,,,25000,기타,1,월드플로라,,
,,장미 슈가밤,생화,장미류,,,12960,,3,,,
,,미니장미 스노우블라썸 SP,생화,장미류,,,35000,흰색,1,,,
,,장미 스위트아발란체,생화,장미류,,,12960,기타,1,월드플로라,,
,,미니장미 스윗스타 SP,생화,장미류,,,16500,,1,,,
,,미니장미 스윗핑크 SP,생화,장미류,,,25000,핑크,2,,,
,,미니장미 스카이풀스타연핑크sp,생화,장미류,,,23800,핑크,1,,,
,,장미 스타플래티넘,생화,장미류,,,15800,기타,1,월드플로라,,
,,미니장미 스텔링센세이션 sp,생화,장미류,,,13000,,1,,,
,,장미 스틸레토,생화,장미류,,,14000,,1,,,
,,장미 시크릿러브,생화,장미류,,,16500,,1,,,
,,장미 신에블,생화,장미류,,,8000,,1,일산플라워,,
,,미니장미 실바써니sp,생화,장미류,,,15000,,1,,,
,,미니장미 썬플로우 sp,생화,장미류,,,15000,,1,,,
,,장미 썸머로망스,생화,장미류,,,14000,,1,,,
,,미니장미 썸머파티 SP,생화,장미류,,,16000,,1,,,
,,미니장미 씨씨미카도sp,생화,장미류,,,15000,,4,,,
,,미니장미 아모니루sp,생화,장미류,,,16500,,1,,,
,,미니장미 아모르젠피지 SP,생화,장미류,,,19200,,1,,,
,,장미 아발란체 화이트 (중국),생화,장미류,,,12000,흰색,1,,,
,,장미 아약스,생화,장미류,,,11500,,1,,,
,,미니장미 아프리콧 테라자sp,생화,장미류,,,15840,,1,,,
,,장미 안네슬리,생화,장미류,,,22000,,1,,,
,,미니장미 어텀파티 SP,생화,장미류,,,18000,,1,,,
,,장미 어피니티,생화,장미류,,,19000,,1,,,
,,장미 언포겟,생화,장미류,,,8000,기타,1,일산플라워,,
,,미니장미 에그타르트sp,생화,장미류,,,13000,,1,,,
,,장미 옐로비치,생화,장미류,,,15000,기타,15,J.S플라워,,
,,장미 오렌지골드 SP,생화,장미류,,,15800,옐로우,1,,,
,,장미 오렌지크러쉬,생화,장미류,,,15000,오렌지,1,,,
,,장미 오렌지트랜드세터sp,생화,장미류,,,14000,오렌지,1,,,
,,장미 오번가,생화,장미류,,,10000,,1,,,
,,장미 오션퍼플,생화,장미류,,,15840,퍼플,1,,,
,,장미 오션하트 (중국) (월플),생화,장미류,,,12500,,1,,,
,,미니장미 올드로즈판타지 딸기 sp,생화,장미류,,,16500,,1,,,
,,미니장미 올드로즈판타지 딸기 sp (중국),생화,장미류,,,15800,기타,1,월드플로라,,
,,장미 올포러브,생화,장미류,,,23500,,1,,,
,,미니장미 왈츠 SP,생화,장미류,,,18800,,1,,,
,,미니장미 요요 sp,생화,장미류,,,7000,,2,,,
,,미니장미 웨딩드레스 sp,생화,장미류,,,18048,,1,,,
,,미니장미 웨딩인바이트 SP,생화,장미류,,,25000,기타,1,월드플로라,,
,,미니장미 윙크알루어 sp,생화,장미류,,,19200,,1,,,
,,미니장미 율두스 SP,생화,장미류,,,18800,옐로우,1,월드플로라,,
,,장미 이벳 sp,생화,장미류,,,11000,기타,1,일산플라워,,
,,장미 제제벨 sp,생화,장미류,,,19500,,1,,,
,,장미 줄리에타(줄리엣)SP,생화,장미류,,,10000,기타,2,일산플라워,,
,,장미 쥬밀리아,생화,장미류,,,12400,,546,,,
,,장미 쥬시테라자 SP,생화,장미류,,,22560,,1,,,
,,장미 치어걸sp,생화,장미류,,,15840,,1,,,
,,장미 카탈리나,생화,장미류,,,19900,기타,1,꽃도매119,,
,,장미 카팅카 SP,생화,장미류,,,17500,,1,,,
,,장미 캔들라이트,생화,장미류,,,15000,,6,꽃동산-양재,,
,,장미 컨트리블루스,생화,장미류,,,19000,블루,2,,,
,,장미 케이라,생화,장미류,,,14000,,1,,,
,,장미 코랄테라자,생화,장미류,,,16500,,1,,,
,,장미 코럴리프,생화,장미류,,,15000,기타,1,JS플라워,,
,,장미 클라린스,생화,장미류,,,8000,기타,2,월드플로라,,
,,장미 킴벌리,생화,장미류,,,15000,,1,,,
,,장미 킹스데이,생화,장미류,,,10900,,1,,,
,,장미 킹스데이 오렌지,생화,장미류,,,9300,오렌지,1,,,
,,장미 타이니크 (중국),생화,장미류,,,11500,,1,,,
,,장미 티나,생화,장미류,,,12000,,1,,,
,,미니장미 퍼플스커트 SP (중국) (월플),생화,장미류,,,16500,퍼플,1,,,
,,미니장미 페어리키스sp,생화,장미류,,,18500,,1,,,
,,장미 푸에고,생화,장미류,,,15000,,1,,,
,,장미 프리덤,생화,장미류,,,15000,,4,꽃동산-양재,,
,,장미 프리스피릿,생화,장미류,,,10900,,1,,,
,,장미 프린세스 미스틱sp,생화,장미류,,,18048,기타,2,월드플로라,,
,,장미 프린세스 블러셔sp,생화,장미류,,,18500,,1,,,
,,장미 피노키오,생화,장미류,,,21000,,2,,,
,,미니장미 피치테라자 SP,생화,장미류,,,16500,핑크,1,,,
,,미니장미 피치팡팡 SP,생화,장미류,,,20000,핑크,1,월드플로라,,
,,장미 핑크아미,생화,장미류,,,21800,핑크,1,,,
,,장미 핑크오하라,생화,장미류,,,10900,핑크,1,,,
,,장미 핑크오하라 (중국),생화,장미류,,,12500,핑크,1,,,
,,장미 핑크파티,생화,장미류,,,7900,핑크,1,,,
,,장미 하젤,생화,장미류,,,9910,,2,꽃도매119,,
,,장미 핫블러드,생화,장미류,,,10500,기타,2,월드플로라,,
,,장미 해라,생화,장미류,,,9800,,1,,,
,,장미 햇살,생화,장미류,,,11520,기타,1,월드플로라,,
,,미니장미 햇살 sp,생화,장미류,,,22600,기타,1,꽃도매119,,
,,장미 헤르모사,생화,장미류,,,16500,,1,,,
,,미니장미 화이트버블sp,생화,장미류,,,17760,흰색,3,,,
,,장미 화이트쉼머,생화,장미류,,,15840,흰색,2,월드플로라,,
,,장미 화이트아발란체,생화,장미류,,,8900,흰색,2,월드플로라,,
,,장미 오하라 화이트,생화,장미류,,,8900,흰색,1,,,
,,장미 퀘스트,생화,장미류,,,7,기타,1,꽃도매119,,
,,장미 산토리니,생화,장미류,,,7000,기타,1,일산플라워,,
,,장미 오렌지,생화,장미류,,,10000,오렌지,1,,,
,,장미  코랄,생화,장미류,,,14000,기타,1,일산플라워,,
,,거베라  스파이더 미니 크림스핀,생화,거베라류,,,8500,흰색,1,월드플로라,,
,,거베라 - 미니 스노우,생화,거베라류,,,13000,흰색,10,월드플로라,,
,,거베라 - 미니 쥬나,생화,거베라류,,,7500,,3,,,
,,거베라 - 미니 캐럿,생화,거베라류,,,14000,,1,,,
,,거베라 - 미니 핑크,생화,거베라류,,,9000,핑크,1,월드플로라,,
,,거베라 - 스파이더 노랑,생화,거베라류,,,11500,옐로우,1,,,
,,거베라 - 스파이더 화이트,생화,거베라류,,,12000,흰색,1,월드플로라,,
,,거베라 미니 다크레드,생화,거베라류,,,20000,레드,1,,,
,,거베라 미니 듀엣,생화,거베라류,,,9500,기타,1,월드플로라,,
,,거베라 미니 딕슨,생화,거베라류,,,8500,,1,,,
,,거베라 미니 레드,생화,거베라류,,,6200,레드,1,월드플로라,,
,,거베라 미니 레드 흑심,생화,거베라류,,,9000,레드,1,,,
,,거베라 미니 마카롱,생화,거베라류,,,8900,,2,,,
,,거베라 미니 미키,생화,거베라류,,,8900,,1,,,
,,거베라 미니 밀레이디,생화,거베라류,,,11040,,2,,,
,,거베라 미니 버건디,생화,거베라류,,,14500,,1,,,
,,거베라 미니 뷀타 (국산),생화,거베라류,,,9000,,1,,,
,,거베라 미니 서퍼,생화,거베라류,,,4000,,7,,,
,,거베라 미니 센시니,생화,거베라류,,,14880,,1,,,
,,거베라 미니 써닛,생화,거베라류,,,14000,,1,,,
,,거베라 미니 아이보리,생화,거베라류,,,14000,,1,,,
,,거베라 미니 아키노,생화,거베라류,,,9000,,1,,,
,,거베라 미니 연핑크,생화,거베라류,,,4000,핑크,6,,,
,,거베라 미니 연핑크 상 (국산),생화,거베라류,,,7000,핑크,1,월드플로라,,
,,거베라 미니 옐로우,생화,거베라류,,,5000,옐로우,2,일산플라워,,
,,거베라 미니 오렌지샤인,생화,거베라류,,,9500,오렌지,1,,,
,,거베라 미니 이즈칸테,생화,거베라류,,,11520,기타,3,월드플로라,,
,,거베라 미니 진노랑,생화,거베라류,,,9000,옐로우,2,월드플로라,,
,,거베라 미니 진핑크,생화,거베라류,,,3000,핑크,3,희플라워,,
,,거베라 미니 치얼스,생화,거베라류,,,8500,,1,,,
,,거베라 미니 카페,생화,거베라류,,,7500,,1,,,
,,거베라 미니 캐럿 (국산),생화,거베라류,,,9000,,1,,,
,,거베라 미니 커런트,생화,거베라류,,,9000,,1,,,
,,거베라 미니 피치,생화,거베라류,,,7500,핑크,1,,,
,,거베라 미니 핑크코랄,생화,거베라류,,,10000,핑크,1,,,
,,거베라 미니화이트,생화,거베라류,,,8000,흰색,1,,,
,,거베라 스파이더 망고,생화,거베라류,,,16500,오렌지,1,,,
,,거베라 스파이더 미니 레드,생화,거베라류,,,5000,레드,4,강남원예-양재,,
,,거베라 스파이더 미니 레드 흑심,생화,거베라류,,,7500,레드,1,월드플로라,,
,,거베라 스파이더 미니 오렌지,생화,거베라류,,,8000,오렌지,1,,,
,,거베라 스파이더 미니크림스핀,생화,거베라류,,,12000,흰색,1,월드플로라,,
,,거베라 스파이더 센시니,생화,거베라류,,,11040,기타,1,월드플로라,,
,,거베라 스파이더 오렌지,생화,거베라류,,,6240,오렌지,1,월드플로라,,
,,거베라 스파이더 주황,생화,거베라류,1단,,7000,오렌지,1,꽃동산,,
,,거베라 스파이더 진핑크,생화,거베라류,,,11500,핑크,1,,,
,,거베라 스파이더 화이트,생화,거베라류,,,5000,흰색,3,일산플라워,,
,,거베라 파스타 카보나라,생화,거베라류,,,7488,기타,1,월드플로라,,
,,거베라 파스타 페사로,생화,거베라류,,,9000,,1,,,
,,거베라 파스타 피치,생화,거베라류,,,9000,핑크,1,,,
,,거베라 파스티니 체세나,생화,거베라류,,,7000,기타,1,월드플로라,,
,,거베라 파스티니 페사로,생화,거베라류,,,8900,,1,,,
,,거베라 폼포니 옐로우,생화,거베라류,,,8000,옐로우,1,,,
,,거베라 폼포니 체리와인,생화,거베라류,,,5000,기타,3,월드플로라,,
,,거베라 폼포니 핑크,생화,거베라류,,,16500,핑크,1,,,
,,거베라 피콜리니,생화,거베라류,,,3000,,2,,,
,,거베라 피콜리니 화이트,생화,거베라류,,,6500,흰색,1,월드플로라,,
,,거베라 피콜리니 화이트심,생화,거베라류,,,8500,흰색,1,,,
,,거베라 핑크,생화,거베라류,,,3000,핑크,2,,,
,,네리네 하이브리드 아프로디테,생화,폼플라워,,,14880,기타,1,월드플로라,,
,,다알리아 레드,생화,폼플라워,,,12500,레드,1,,,
,,다알리아 오로라 (중국),생화,폼플라워,,,15800,기타,1,월드플로라,,
,,다알리아 와인,생화,폼플라워,,,6000,,1,,,
,,도라지,생화,폼플라워,,,5000,,1,,,
